Model,Accuracy,Log Loss,Home F1,Draw F1,Away F1,Macro F1,Home Recall,Draw Recall,Away Recall
Random Forest V2,0.4921052631578947,1.0306285134038151,0.6285714285714286,0.0,0.4661016949152542,0.36489104116222765,0.8148148148148148,0.0,0.4824561403508772
Random Forest V3,0.48947368421052634,1.0224582513186404,0.6305418719211823,0.0,0.464,0.3648472906403941,0.7901234567901234,0.0,0.5087719298245614
XGBoost V3,0.47368421052631576,1.0614254474639893,0.6231155778894473,0.03508771929824561,0.43548387096774194,0.3645623893851449,0.7654320987654321,0.019230769230769232,0.47368421052631576
XGBoost V2,0.46842105263157896,1.0716335773468018,0.6084788029925187,0.03508771929824561,0.44081632653061226,0.3614609496071255,0.7530864197530864,0.019230769230769232,0.47368421052631576
XGBoost V2 Balanced,0.43157894736842106,1.0673491954803467,0.5848563968668408,0.10884353741496598,0.3826086956521739,0.3587695433113269,0.691358024691358,0.07692307692307693,0.38596491228070173
