Draw Threshold,Accuracy,Draw Precision,Draw Recall,Draw F1,Macro F1,Draw Predictions
0.2,0.36578947368421055,0.2895622895622896,0.8269230769230769,0.428927680798005,0.3262828486683581,297
0.21000000000000002,0.38421052631578945,0.291970802919708,0.7692307692307693,0.42328042328042326,0.35515556296588374,274
0.22000000000000003,0.39210526315789473,0.2950191570881226,0.7403846153846154,0.42191780821917807,0.369274787515595,261
0.23000000000000004,0.39473684210526316,0.301255230125523,0.6923076923076923,0.4198250728862974,0.3717026972514073,239
0.24000000000000005,0.3973684210526316,0.2912621359223301,0.5769230769230769,0.3870967741935484,0.3844283239868978,206
0.25000000000000006,0.3973684210526316,0.26857142857142857,0.4519230769230769,0.33691756272401435,0.38769085175748313,175
0.26000000000000006,0.42894736842105263,0.2647058823529412,0.34615384615384615,0.3,0.4101541733120681,136
0.2700000000000001,0.4,0.18095238095238095,0.18269230769230768,0.18181818181818182,0.3660247798178833,105
0.2800000000000001,0.4131578947368421,0.1643835616438356,0.11538461538461539,0.13559322033898305,0.3594461391692801,73
0.2900000000000001,0.4473684210526316,0.2127659574468085,0.09615384615384616,0.13245033112582782,0.3770067809628781,47
0.3000000000000001,0.47368421052631576,0.21052631578947367,0.038461538461538464,0.06504065040650407,0.3754515574122996,19
0.3100000000000001,0.48157894736842105,0.16666666666666666,0.009615384615384616,0.01818181818181818,0.3657429157549901,6
0.3200000000000001,0.4868421052631579,0.25,0.009615384615384616,0.018518518518518517,0.3690724912947136,4
0.3300000000000001,0.48947368421052634,0.0,0.0,0.0,0.36546844191214783,1
0.34000000000000014,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.35000000000000014,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.36000000000000015,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.37000000000000016,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.38000000000000017,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.3900000000000002,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
0.4000000000000002,0.48947368421052634,0.0,0.0,0.0,0.3648472906403941,0
