Date,HomeTeam,AwayTeam,FTR,P_Away,P_Draw,P_Home,Draw_Rank,Predicted
2026-01-01,Brentford,Tottenham,D,0.2715119733620658,0.23975524095633888,0.4887327856815951,3,H
2025-11-09,Crystal Palace,Brighton,D,0.2982819333178267,0.23971990359428139,0.46199816308789193,3,H
2025-12-30,Chelsea,Bournemouth,D,0.18129680983719534,0.23915797164283079,0.5795452185199741,2,H
2025-09-29,Everton,West Ham,D,0.18832681732133194,0.23660619230443838,0.5750669903742294,2,H
2026-05-24,Liverpool,Brentford,D,0.18306873010155691,0.23559059749237535,0.5813406724060672,2,H
2025-10-05,Wolves,Brighton,D,0.5269064510111074,0.23477947271958757,0.23831407626930495,3,A
2025-10-18,Crystal Palace,Bournemouth,D,0.2862603467856003,0.2342703657864574,0.47946928742794215,3,H
2025-12-27,Burnley,Everton,D,0.48170745457668085,0.23333690538121615,0.2849556400421034,3,A
2026-02-12,Brentford,Arsenal,D,0.5660808526206671,0.23321639549064943,0.20070275188868333,2,A
2025-12-07,Brighton,West Ham,D,0.1772029056576957,0.23226391203228056,0.5905331823100236,2,H
2025-12-06,Leeds,Liverpool,D,0.5260442992159997,0.2322584771497908,0.24169722363420976,3,A
2026-02-11,Nott'm Forest,Wolves,D,0.1833223240714558,0.23098167960929117,0.5856959963192524,2,H
2026-01-31,Brighton,Everton,D,0.21249983758747842,0.22855840433469782,0.558941758077824,2,H
2026-02-21,Aston Villa,Leeds,D,0.19582690322369117,0.22627018623675363,0.5779029105395551,2,H
2026-01-04,Fulham,Liverpool,D,0.47880882160869165,0.22458027627353755,0.2966109021177706,3,A
2026-03-15,Liverpool,Tottenham,D,0.11463611209083131,0.22446563194213215,0.6608982559670366,2,H
2026-05-11,Tottenham,Leeds,D,0.24092937418281507,0.22285254717089165,0.5362180786462932,3,H
2026-01-08,Arsenal,Liverpool,D,0.12230873452110894,0.2147898952525769,0.6629013702263142,2,H
2025-09-13,Crystal Palace,Sunderland,D,0.18419404432420294,0.21440779111728941,0.6013981645585076,2,H
2026-01-01,Liverpool,Leeds,D,0.1575419119448685,0.21015540655393639,0.6323026815011951,2,H
2025-12-02,Newcastle,Tottenham,D,0.18425322945517603,0.2096173586877474,0.6061294118570766,2,H
2025-09-27,Tottenham,Wolves,D,0.168985098028865,0.2092891215585829,0.6217257804125523,2,H
2026-05-09,Sunderland,Man United,D,0.5841581505389194,0.20767323520159117,0.2081686142594888,3,A
2026-01-24,Burnley,Tottenham,D,0.504254563586014,0.20693627321535116,0.2888091631986352,3,A
2026-03-14,Burnley,Bournemouth,D,0.6080116018584913,0.2020535003345337,0.1899348978069751,2,A
2025-12-30,West Ham,Brighton,D,0.5666692560497869,0.2004845571625079,0.2328461867877058,3,A
2025-12-04,Man United,West Ham,D,0.11619865114493712,0.19862098794763208,0.6851803609074313,2,H
2025-12-15,Man United,Bournemouth,D,0.20608825439485293,0.19611848512328334,0.5977932604818642,3,H
2025-12-30,Man United,Wolves,D,0.09950575608210653,0.19172775416774274,0.7087664897501503,2,H
2026-02-10,Chelsea,Leeds,D,0.14462519949353983,0.1905045353201458,0.6648702651863148,2,H
2026-05-17,Wolves,Fulham,D,0.6041364166736175,0.18661070511143796,0.2092528782149446,3,A
2026-03-04,Man City,Nott'm Forest,D,0.11890265663968139,0.17822721902117025,0.7028701243391486,2,H
2026-05-10,Burnley,Aston Villa,D,0.6558598549069709,0.176994349906488,0.16714579518654094,2,A
2026-01-07,Burnley,Man United,D,0.665952537426237,0.1741506859154148,0.1598967766583483,2,A
2026-05-04,Everton,Man City,D,0.7055031493369007,0.17390102735529833,0.12059582330780122,2,A
2025-12-03,Liverpool,Sunderland,D,0.1381439107798608,0.17299072362507956,0.6888653655950597,2,H
2026-01-01,Sunderland,Man City,D,0.7186565846664779,0.16952263554646013,0.11182077978706247,2,A
2026-01-04,Man City,Chelsea,D,0.13870168071689873,0.16596859151816326,0.6953297277649378,2,H
2026-01-17,Liverpool,Burnley,D,0.10102909972992209,0.16311154883846352,0.7358593514316144,2,H
2026-02-21,Chelsea,Burnley,D,0.08532544419860512,0.15546606443534144,0.7592084913660537,2,H
2026-01-17,Nott'm Forest,Arsenal,D,0.7354685036900196,0.1441193656616536,0.1204121306483271,2,A
2026-01-07,Man City,Brighton,D,0.096848834068644,0.13851999171321128,0.7646311742181456,2,H
2025-11-08,Sunderland,Arsenal,D,0.7189311973404918,0.13423292965135353,0.14683587300815445,3,A
2026-02-18,Wolves,Arsenal,D,0.7750309090111351,0.1322043667883521,0.09276472420051302,2,A
