model,accuracy,log_loss,macro_f1,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,avg_p_away,avg_p_draw,avg_p_home
Random Forest V4,0.5,1.0315403819200282,0.37916059530481344,0.4411764705882353,0.5263157894736842,0.48,0.5,0.009615384615384616,0.018867924528301886,0.5330578512396694,0.7962962962962963,0.6386138613861386,0.3166176638566112,0.23452589984576827,0.4488564362976205
XGBoost V4 Balanced,0.4368421052631579,1.0626707044252424,0.38190513190513187,0.39855072463768115,0.4824561403508772,0.4365079365079365,0.21153846153846154,0.10576923076923077,0.14102564102564102,0.5263157894736842,0.6172839506172839,0.5681818181818182,0.33099032588499155,0.28227810907716816,0.38673156420945337
XGBoost V4,0.46578947368421053,1.0640971686411693,0.3483329134122785,0.40458015267175573,0.4649122807017544,0.4326530612244898,0.0,0.0,0.0,0.5102880658436214,0.7654320987654321,0.6123456790123457,0.3200047970602387,0.21287796665963374,0.46711723372144137
