model,accuracy,log_loss,macro_f1,draw_precision,draw_recall,draw_f1,home_f1,away_f1,avg_p_away,avg_p_draw,avg_p_home,actual_draw_mean_p_draw,non_draw_mean_p_draw,draw_probability_gap,actual_draw_median_p_draw,non_draw_median_p_draw,draw_rank_1_count,draw_rank_2_count,draw_rank_3_count,draw_brier,away_brier,home_brier,predicted_draws
Random Forest V4,0.5,1.0315403819200282,0.37916059530481344,0.5,0.009615384615384616,0.018867924528301886,0.6386138613861386,0.48,0.3166176638566112,0.23452589984576827,0.4488564362976205,0.23271817002442005,0.23520707340163866,-0.0024889033772186042,0.2350833333333333,0.24081071428571427,1,47,56,0.20427340501801042,0.19795442378063147,0.21784915144310552,2
XGBoost V4 Balanced,0.4368421052631579,1.062670703596855,0.38190513190513187,0.21153846153846154,0.10576923076923077,0.14102564102564102,0.5681818181818182,0.4365079365079365,0.33099032565673703,0.28227810935795744,0.3867315649853056,0.2771849259506404,0.28419727991723626,-0.00701235396659583,0.2754145331557234,0.2840806352474138,11,70,23,0.2094647908342476,0.20529049346085942,0.22944149013130227,52
